
Method,Execution Time (s),Best K,Silhouette Score
Library,0.1356,2,0.3509
num1,num2,num3,output
27,46,82,1
11,51,84,1
85,88,15,0
9,15,21,1
42,64,45,0
2,29,57,1
88,71,67,0
47,65,44,0
3,55,29,1
88,79,8,0
67,49,47,0
96,54,65,0
64,97,1,0
24,14,54,1
18,35,98,1
13,3,38,1
5,52,13,1
74,72,71,0
14,96,32,1
77,19,89,0

Method,Execution Time (s),Best K,Silhouette Score
Without Library,0.0898,2,0.3644
num1,num2,num3,output
27,46,82,1
11,51,84,1
85,88,15,0
9,15,21,1
42,64,45,0
2,29,57,1
88,71,67,0
47,65,44,0
3,55,29,1
88,79,8,0
67,49,47,0
96,54,65,0
64,97,1,0
24,14,54,1
18,35,98,1
13,3,38,1
5,52,13,1
74,72,71,0
14,96,32,1
77,19,89,0
